iter	Passed	Remaining
0	98	98061
1	146	72912
2	194	64617
3	237	59117
4	283	56330
5	329	54587
6	371	52632
7	419	51997
8	467	51481
9	516	51133
10	565	50847
11	609	50173
12	651	49470
13	700	49308
14	743	48790
15	794	48862
16	844	48840
17	895	48850
18	942	48642
19	992	48623
20	1040	48516
21	1088	48367
22	1136	48265
23	1179	47956
24	1223	47731
25	1269	47561
26	1319	47562
27	1367	47469
28	1414	47365
29	1459	47190
30	1509	47187
31	1556	47093
32	1600	46885
33	1649	46861
34	1694	46713
35	1736	46501
36	1784	46437
37	1834	46442
38	1876	46249
39	1921	46119
40	1964	45940
41	2007	45780
42	2050	45629
43	2093	45487
44	2138	45392
45	2184	45314
46	2233	45294
47	2280	45227
48	2328	45185
49	2371	45057
50	2414	44930
51	2459	44839
52	2506	44788
53	2552	44713
54	2597	44634
55	2640	44516
56	2687	44465
57	2730	44354
58	2782	44382
59	2830	44337
60	2879	44328
61	2927	44291
62	2971	44196
63	3022	44204
64	3072	44200
65	3118	44135
66	3166	44097
67	3213	44048
68	3262	44018
69	3309	43972
70	3361	43982
71	3411	43974
72	3454	43870
73	3500	43801
74	3545	43726
75	3590	43658
76	3633	43551
77	3681	43511
78	3724	43417
79	3772	43378
80	3822	43374
81	3869	43316
82	3916	43274
83	3962	43207
84	4006	43132
85	4049	43035
86	4095	42975
87	4138	42890
88	4189	42881
89	4239	42865
90	4282	42773
91	4332	42755
92	4374	42665
93	4420	42601
94	4467	42555
95	4509	42462
96	4559	42444
97	4605	42392
98	4654	42359
99	4696	42267
100	4746	42252
101	4797	42238
102	4841	42161
103	4887	42104
104	4930	42024
105	4973	41942
106	5023	41921
107	5066	41848
108	5109	41766
109	5152	41689
110	5198	41632
111	5242	41567
112	5289	41519
113	5334	41459
114	5377	41383
115	5420	41311
116	5466	41258
117	5517	41237
118	5562	41180
119	5605	41105
120	5650	41049
121	5696	40993
122	5739	40921
123	5784	40867
124	5832	40826
125	5880	40789
126	5924	40723
127	5967	40653
128	6010	40580
129	6060	40557
130	6108	40521
131	6151	40453
132	6197	40400
133	6240	40329
134	6283	40259
135	6325	40188
136	6368	40116
137	6414	40064
138	6462	40031
139	6505	39961
140	6552	39918
141	6597	39864
142	6642	39806
143	6692	39784
144	6742	39760
145	6793	39738
146	6841	39699
147	6884	39629
148	6926	39562
149	6976	39535
150	7025	39498
151	7071	39451
152	7115	39389
153	7162	39347
154	7212	39321
155	7262	39293
156	7308	39242
157	7351	39179
158	7394	39112
159	7440	39063
160	7485	39008
161	7535	38979
162	7578	38915
163	7626	38878
164	7677	38855
165	7728	38829
166	7774	38777
167	7816	38712
168	7860	38649
169	7904	38591
170	7949	38537
171	8000	38514
172	8043	38448
173	8093	38419
174	8138	38368
175	8181	38306
176	8233	38282
177	8275	38217
178	8324	38181
179	8374	38149
180	8417	38087
181	8465	38048
182	8508	37985
183	8550	37921
184	8601	37894
185	8649	37855
186	8695	37803
187	8737	37740
188	8788	37713
189	8834	37664
190	8880	37613
191	8931	37585
192	8979	37546
193	9027	37506
194	9072	37451
195	9115	37393
196	9161	37341
197	9209	37304
198	9252	37241
199	9297	37190
200	9347	37158
201	9391	37099
202	9433	37038
203	9477	36980
204	9525	36938
205	9567	36876
206	9614	36831
